state,land_area_sqmi,establishments_mean,mean_spending_2017,spending_per_estab,operations,h2a_workers,workers_per_operation,spending_per_operation,land_area_sqmi_z,establishments_mean_z,spending_per_estab_z,operations_z,h2a_workers_z,workers_per_operation_z,spending_per_operation_z
New Hampshire,9349,16.333333333333332,182312.70061519276,11162.00207848119,4123.0,2046,0.4962406015037593,44.218457583117335,-0.6855378647182663,-0.8185204069580174,0.42677092882381973,-0.9340650392577258,-0.19723477921232183,2.5246728451538387,0.5139471875231834
New Jersey,8723,169.83333333333334,54315.886884888794,319.81876477854047,9883.0,413,0.0417889304866943,5.495890608609612,-0.6919870846792121,-0.26730201675581633,-0.35048169259775985,-0.7875506191614196,-0.4461100299183563,-0.35748788722198327,-0.29327577106624353
New Mexico,121590,31.666666666666668,502543.7505637265,15869.802649380837,25044.0,316,0.0126177926848746,20.066433100292546,0.4707990324646575,-0.7634584179258758,0.7642629476349411,-0.40190736862668014,-0.4608931893295537,-0.5424930555448687,0.010466396288837498
New York,54555,218.66666666666666,613285.5717394783,2804.6596268573703,33438.0,4172,0.1247682277648184,18.34097648601825,-0.2198135235768719,-0.0919415516860608,-0.17234883706622353,-0.18839312517383383,0.12677549819186024,0.16877197156544008,-0.025503021596323255
North Carolina,53819,347.6666666666667,74669.8786643824,214.77433939899058,46418.0,16071,0.3462234478004222,1.6086405847813865,-0.2273959930517218,0.3712973560408705,-0.35801209977034404,0.14177305066818963,1.9402271872004972,1.5732547358994655,-0.37431062258001846
North Dakota,70698,288.1666666666667,183386.30146962174,636.3897101317121,26364.0,761,0.0288651191018054,6.955936180762469,-0.05350400627727602,0.15763289860092936,-0.3277874076901538,-0.3683311473546099,-0.39307354048436977,-0.4394515019729116,-0.262839196259503
Ohio,44826,473.5,45115.75346265586,95.28142230761534,77805.0,361,0.0046398046398046,0.5798567375188723,-0.3200442919475445,0.8231647660329028,-0.36657828799676917,0.9401494575367251,-0.45403502259240025,-0.5930899513938909,-0.3957569781763036
Oklahoma,69899,108.66666666666667,631838.1523327702,5814.461524534695,78531.0,1212,0.0154333957290751,8.045716371022529,-0.061735518655543824,-0.48695147300359903,0.04341733725890316,0.9586163792363637,-0.3243394694075654,-0.5246363261069704,-0.24012129147873257
Oregon,98379,111.33333333333333,1528272.3037076236,13726.996739888835,37616.0,1051,0.0279402381965121,40.62825137461781,0.2316730827625625,-0.4773754749110526,0.610649836496578,-0.08211929754147836,-0.34887646595604765,-0.4453171541365285,0.4391046059484902
Pennsylvania,46054,240.5,8768.427935913782,36.45915981668932,53157.0,452,0.0085031134187407,0.16495340098037478,-0.3073931064650503,-0.013538067303337278,-0.37079512849800284,0.3131898348746146,-0.4401662854128233,-0.5685886070930262,-0.40440618521543714
