year,area_title,area,occ_code,occ_title,tot_emp,h_mean,a_mean,emp_prse,soc_label
2011,Oklahoma,40,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,10.04,20890,35.6,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Oklahoma,40,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300.0,22.21,46200,9.9,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Oklahoma,40,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1240.0,10.07,20940,21.9,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Oregon,41,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",430.0,18.52,38520,32.5,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Oregon,41,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",580.0,24.21,50360,15.9,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Oregon,41,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",4570.0,9.82,20430,13.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Pennsylvania,42,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1060.0,16.15,33590,31.5,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Pennsylvania,42,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",410.0,24.58,51130,10.5,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Pennsylvania,42,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2290.0,12.33,25640,10.3,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Rhode Island,44,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",70.0,12.95,26940,32.5,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,South Carolina,45,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,13.9,28910,38.6,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,South Carolina,45,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",390.0,21.31,44320,11.8,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,South Carolina,45,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1170.0,8.75,18210,22.6,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,South Dakota,46,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",710.0,14.32,29780,11.5,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,South Dakota,46,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",80.0,19.63,40820,42.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,South Dakota,46,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",140.0,10.51,21860,10.2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Tennessee,47,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",470.0,14.88,30950,23.2,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Tennessee,47,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",180.0,19.99,41580,16.6,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Tennessee,47,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",980.0,10.5,21850,18.8,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Texas,48,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",950.0,15.52,32290,21.5,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Texas,48,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",780.0,18.49,38450,15.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Texas,48,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",4770.0,10.29,21400,13.8,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Utah,49,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.95,33170,,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Utah,49,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",50.0,22.94,47710,30.2,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Utah,49,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",450.0,9.93,20660,19.9,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Vermont,50,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",90.0,21.53,44780,11.6,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Vermont,50,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",160.0,11.74,24410,30.1,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Virginia,51,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",340.0,16.84,35030,15.9,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Virginia,51,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",610.0,23.44,48760,5.3,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Virginia,51,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",990.0,11.21,23320,16.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Washington,53,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",740.0,15.44,32120,36.6,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Washington,53,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",800.0,23.91,49730,8.7,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Washington,53,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5050.0,12.31,25600,10.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,West Virginia,54,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100.0,13.5,28090,27.8,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,West Virginia,54,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",30.0,18.29,38040,11.5,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,West Virginia,54,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",150.0,9.5,19770,30.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Wisconsin,55,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",260.0,16.03,33340,19.5,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Wisconsin,55,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",380.0,22.51,46820,14.2,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
2011,Wisconsin,55,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",850.0,10.85,22570,16.9,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
2011,Wyoming,56,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,14.61,30380,33.1,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
2011,Wyoming,56,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",40.0,11.88,24700,38.5,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
