year,state,occ_code,occ_title,tot_emp,h_mean,a_mean
2017,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",540.0,19.1,39730.0
2018,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",580.0,18.86,39220.0
2019,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1480.0,16.32,33950.0
2020,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1000.0,17.21,35810.0
2021,Minnesota,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1180.0,20.49,42630.0
2011,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",140.0,13.65,28380.0
2012,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",110.0,12.59,26180.0
2013,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,12.79,26610.0
2014,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",90.0,10.25,21310.0
2015,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,11.28,23450.0
2016,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",70.0,11.73,24410.0
2018,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",30.0,13.92,28950.0
2019,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",50.0,15.98,33240.0
2020,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",60.0,16.3,33900.0
2021,Mississippi,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,19.06,39650.0
2011,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,13.11,27270.0
2012,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",410.0,13.03,27100.0
2013,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",520.0,13.3,27670.0
2014,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",450.0,14.22,29570.0
2015,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",460.0,15.42,32080.0
2016,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",510.0,16.81,34960.0
2017,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",410.0,17.35,36100.0
2018,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",300.0,18.51,38510.0
2019,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,15.54,32330.0
2020,Missouri,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",440.0,16.12,33520.0
