Year,State,Generated Internal ID,CFDA Number,Recipient,Type Description,Description,Total Obligation
2008,MT,ASST_NON_97834709_6800,66.7,CONFEDERATED SALISH & KOOTENAI TRIBES,,"THIS AWARD PROVIDES FUNDING TO ASSIST THE TRIBES IN CONDUCTING PESTICIDE INSPECTIONS, PROVIDING COMPLIANCE ASSISTANCE AND IMPLEMENTING PESTICIDE PRO",110000
2008,MT,ASST_NON_97875601_6800,66.716,MONTANA STATE UNIVERSITY,,THIS AWARD PROVIDES FUNDS FOR RISK REDUCTION FROM THE USE OF PESTICIDES IN AGRICULTURAL SETTINGS IN THE UNITED STATES.,59870
2008,MT,ASST_NON_97856901_6800,66.716,CONFEDERATED SALISH & KOOTENAI  TRIBAL COUNCI,,THIS AWARD PROVIDES FUNDS TO THE CONFEDERATED SALISH AND KOOTENAI TRIBES TO PLAN AND CONDUCT PESTICIDE SAMPLING OF 18 SITES IN STREAMS ON THE FLATHE,50000
2008,NE,ASST_NON_97701901_6800,66.7,WINNEBAGO TRIBE OF NEBRASKA,,"THE OUTCOME OF THIS PROJECT IS REDUCED RISK TO HUMAN HEALTH AND THE ENVIRONMENT FROM PESTICIDE EXPOSURE. TO ACCOMPLISH THIS OUTCOME, THE WINNEBAGO A",119363
2008,NE,ASST_NON_98794701_6800,66.714,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,,THIS PROJECT WILL ENCOURAGE THE ADOPTION OF INTEGRATED PEST MANAGEMENT (IPM) IN SCHOOLS AND OTHER SENSITIVE INDOOR ENVIRONMENTS BY INCREASING STUDE,50500
2008,NV,ASST_NON_00915409_6800,66.7,DEPARTMENT OF AGRICULTURE NEVADA,,THE NEVADA DEPARTMENT OF AGRICULTURE (NDOA) WILL PROTECT HUMAN HEALTH AND THE ENVIRONMENT FROM HARMFUL PESTICIDE EXPOSURE BY PROVIDING INFORMATION A,313850
2008,NV,ASST_NON_96998001_6800,66.716,BOARD OF REGENTS OF NEVADA SYSTEM OF HIGHER EDUCATION,,"THIS AGREEMENT PROVIDES FULL FEDERAL FUNDING IN THE AMOUNT OF $96,798 TO ADDRESS EMERGING HEALTH ISSUE OF LEAD-CONTAMINATED IMPORTED CANDY AND RELAT",0
2008,NV,ASST_NON_98974909_6800,66.7,SHOSHONE PAIUTE TRIBES OF DUCK VALLEY,,"THE PURPOSE OF THIS AGREEMENT IS TO SUPPORT THE TRIBE IN ENSURING THAT PESTICIDES ARE SOLD, USED AND STORED ACCORDING TO THE TRIBES' PESTICIDES ORDI",66500
2008,NV,ASST_NON_00959509_6800,66.7,DEPARTMENT OF AGRICULTURE NEVADA,,THE STATE'S ACTIVITIES ARE TO PROTECT HUMAN HEALTH AND THE ENVIRONMENT BY IMPROVING UNDERSTANDING OF AND COMPLIANCE WITH PESTICIDE LAWS AND REGULATI,28000
2008,NH,ASST_NON_00146308_6800,66.7,STATE OF NEW HAMPSHIRE,,"THE GOAL OF THIS PROGRAM IS FOR THE NEW HAMPSHIRE DEPARTMENT OF AGRICULTURE, MARKETS, AND FOOD TO MONITOR PESTICIDE PRODUCERS, RETAILERS, AND APPLIC",40450
2008,NJ,ASST_NON_97255501_6800,66.716,"RUTGERS, THE STATE UNIVERSITY",,THIS PROJECT PROVIDES SUPPORT TO INTEGRATE NEW KNOWLEDGE OF THE LIFE CYCLE OF A FUNGUS THAT AFFECTS BLUEBERRIES INTO THE CURRENT MANAGEMENT PROGRAM,0
2008,NJ,ASST_NON_97241001_6800,66.714,UNIVERSITY OF MEDICINE AND DENTISTRY OF NJ (INC),,THIS PROJECT PROVIDES SUPPORT IN CREATING AN INTERACTIVE MULTI-MEDIA PROGRAM CALLED TICK-LES (TICK LEARNING AND EDUCATION FOR SCHOOLS) FOR CHILDREN,50500
2008,NM,ASST_NON_00665309_6800,66.7,NEW MEXICO STATE UNIVERSITY,,THE PURPOSE OF THIS FY 2009 COOPERATIVE AGREEMENT WITH THE NEW MEXICO  DEPARTMENT OF AGRICULTURE IS TO ADMINISTER THE FOLLOWING:  (1) A COMPREHENSIV,317183
2008,NM,ASST_NON_00665308_6800,66.7,NEW MEXICO STATE UNIVERSITY,,"PESTICIDE PROGRAM ACTIVITIES INCLUDE ENFORCEMENT, CERTIFICATION AND TRAINING, WORKER PROTECTION, GROUND WATER, AND ENDANGERED SPECIES.",43707
2008,NM,ASST_NON_96671701_6800,66.714,NEW MEXICO STATE UNIVERSITY,,THE PROJECT TO ESTABLISH A MEASURABLE BASELINE TO EVALUATE THE CURRENT USE AND KNOWLEDGE OF PESTICIDES PRACTICES FROM INTEGRATED PEST MANAGEMENT (IP,49600
2008,NY,ASST_NON_00215230_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,THIS COOPERATIVE AGREEMENT IS DESIGNED TO IMPLEMENT AND ESTABLISH AGRICULTURAL WORKER PROTECTION AND PESTICIDE ENFORCEMENT PROGRAMS IN NEW YORK STA,424000
2008,NY,ASST_NON_00214630_6800,66.7,DEPARTMENT OF ENVIRONMENTAL CONSERVATION NEW YORK,,THIS IS A CONTINUING COOPERATIVE AGREEMENT DESIGNED TO PROVIDE A COMPREHENSIVE WORKER SAFETY PROGRAM TO ADDRESS OCCUPATIONAL EXPOSURE TO PESTICIDES,258400
2008,NY,ASST_NON_97245208_6800,66.716,"ERIE, COUNTY OF",,THIS PROJECT PROVIDES SUPPORT IN PROMOTING AN INTEGRATED PEST MANAGEMENT (IPM) PROGRAM TO COMMERCIAL AGRICULTURAL PRODUCE GROWERS IN WESTERN NEW YO,98340
