state,year,Association / Joint Employer,Farm Labor Contractor,Owner / Operator (Direct),total_certified,pct_Farm Labor Contractor,pct_Owner / Operator (Direct),pct_Association / Joint Employer
AZ,2024,167.0,10259.0,2374.0,12800.0,80.1,18.5,1.3
CA,2024,1483.0,27361.0,8667.0,37511.0,72.9,23.1,4.0
CO,2024,932.0,351.0,3113.0,4396.0,8.0,70.8,21.2
CT,2024,579.0,341.0,646.0,1566.0,21.8,41.3,37.0
DE,2024,0.0,739.0,202.0,941.0,78.5,21.5,0.0
FL,2024,612.0,33397.0,13387.0,47396.0,70.5,28.2,1.3
GA,2024,57.0,30518.0,12861.0,43436.0,70.3,29.6,0.1
HI,2024,8.0,242.0,215.0,465.0,52.0,46.2,1.7
IA,2024,23.0,4082.0,1480.0,5585.0,73.1,26.5,0.4
ID,2024,930.0,416.0,6152.0,7498.0,5.5,82.0,12.4
IL,2024,44.0,3127.0,2027.0,5198.0,60.2,39.0,0.8
IN,2024,26.0,3764.0,1268.0,5058.0,74.4,25.1,0.5
KS,2024,5.0,805.0,1567.0,2377.0,33.9,65.9,0.2
KY,2024,4417.0,646.0,2587.0,7650.0,8.4,33.8,57.7
LA,2024,2175.0,1821.0,10040.0,14036.0,13.0,71.5,15.5
MA,2024,482.0,12.0,67.0,561.0,2.1,11.9,85.9
MD,2024,33.0,293.0,1142.0,1468.0,20.0,77.8,2.2
ME,2024,433.0,156.0,827.0,1416.0,11.0,58.4,30.6
MI,2024,391.0,8772.0,5852.0,15015.0,58.4,39.0,2.6
MN,2024,0.0,943.0,3082.0,4025.0,23.4,76.6,0.0
MO,2024,32.0,530.0,1704.0,2266.0,23.4,75.2,1.4
MS,2024,303.0,627.0,6171.0,7101.0,8.8,86.9,4.3
MT,2024,116.0,135.0,1653.0,1904.0,7.1,86.8,6.1
NC,2024,10425.0,11767.0,5340.0,27532.0,42.7,19.4,37.9
ND,2024,40.0,265.0,3886.0,4191.0,6.3,92.7,1.0
NE,2024,35.0,2141.0,1944.0,4120.0,52.0,47.2,0.8
NH,2024,250.0,0.0,75.0,325.0,0.0,23.1,76.9
NJ,2024,1.0,581.0,2032.0,2614.0,22.2,77.7,0.0
NM,2024,90.0,846.0,1283.0,2219.0,38.1,57.8,4.1
NV,2024,623.0,111.0,2785.0,3519.0,3.2,79.1,17.7
NY,2024,256.0,145.0,9893.0,10294.0,1.4,96.1,2.5
OH,2024,138.0,1715.0,2748.0,4601.0,37.3,59.7,3.0
OK,2024,27.0,313.0,1080.0,1420.0,22.0,76.1,1.9
OR,2024,1871.0,584.0,1805.0,4260.0,13.7,42.4,43.9
PA,2024,102.0,542.0,2479.0,3123.0,17.4,79.4,3.3
RI,2024,10.0,0.0,0.0,10.0,0.0,0.0,100.0
SC,2024,941.0,1591.0,4565.0,7097.0,22.4,64.3,13.3
SD,2024,61.0,757.0,1528.0,2346.0,32.3,65.1,2.6
TN,2024,1622.0,886.0,3822.0,6330.0,14.0,60.4,25.6
TX,2024,359.0,5359.0,7992.0,13710.0,39.1,58.3,2.6
UT,2024,671.0,8.0,1100.0,1779.0,0.4,61.8,37.7
VA,2024,1310.0,356.0,3259.0,4925.0,7.2,66.2,26.6
VT,2024,46.0,8.0,542.0,596.0,1.3,90.9,7.7
WA,2024,15707.0,3979.0,16198.0,35884.0,11.1,45.1,43.8
WI,2024,49.0,1510.0,1391.0,2950.0,51.2,47.2,1.7
WV,2024,7.0,17.0,307.0,331.0,5.1,92.7,2.1
WY,2024,426.0,55.0,181.0,662.0,8.3,27.3,64.4
AK,2025,0.0,0.0,46.0,46.0,0.0,100.0,0.0
AL,2025,64.0,290.0,1730.0,2084.0,13.9,83.0,3.1
AR,2025,206.0,650.0,7009.0,7865.0,8.3,89.1,2.6
AZ,2025,136.0,10957.0,2842.0,13935.0,78.6,20.4,1.0
CA,2025,1838.0,24125.0,9175.0,35138.0,68.7,26.1,5.2
CO,2025,1002.0,333.0,3209.0,4544.0,7.3,70.6,22.1
CT,2025,614.0,332.0,655.0,1601.0,20.7,40.9,38.4
DE,2025,0.0,857.0,198.0,1055.0,81.2,18.8,0.0
FL,2025,641.0,42069.0,14108.0,56818.0,74.0,24.8,1.1
GA,2025,129.0,29111.0,13483.0,42723.0,68.1,31.6,0.3
HI,2025,10.0,238.0,249.0,497.0,47.9,50.1,2.0
IA,2025,0.0,3910.0,1454.0,5364.0,72.9,27.1,0.0
ID,2025,880.0,583.0,6158.0,7621.0,7.6,80.8,11.5
IL,2025,64.0,3656.0,2037.0,5757.0,63.5,35.4,1.1
IN,2025,32.0,3970.0,1343.0,5345.0,74.3,25.1,0.6
KS,2025,4.0,908.0,1618.0,2530.0,35.9,64.0,0.2
KY,2025,4089.0,592.0,2718.0,7399.0,8.0,36.7,55.3
LA,2025,2248.0,2132.0,10251.0,14631.0,14.6,70.1,15.4
MA,2025,456.0,15.0,93.0,564.0,2.7,16.5,80.9
MD,2025,0.0,342.0,1142.0,1484.0,23.0,77.0,0.0
ME,2025,411.0,211.0,868.0,1490.0,14.2,58.3,27.6
MI,2025,444.0,9256.0,6284.0,15984.0,57.9,39.3,2.8
MN,2025,7.0,1136.0,3213.0,4356.0,26.1,73.8,0.2
MO,2025,27.0,727.0,1712.0,2466.0,29.5,69.4,1.1
MS,2025,181.0,909.0,6273.0,7363.0,12.3,85.2,2.5
MT,2025,149.0,169.0,1799.0,2117.0,8.0,85.0,7.0
NC,2025,10403.0,10521.0,5199.0,26123.0,40.3,19.9,39.8
ND,2025,114.0,276.0,4364.0,4754.0,5.8,91.8,2.4
NE,2025,31.0,1914.0,2259.0,4204.0,45.5,53.7,0.7
NH,2025,255.0,0.0,88.0,343.0,0.0,25.7,74.3
NJ,2025,0.0,667.0,2051.0,2718.0,24.5,75.5,0.0
NM,2025,27.0,1068.0,1416.0,2511.0,42.5,56.4,1.1
NV,2025,636.0,139.0,3005.0,3780.0,3.7,79.5,16.8
NY,2025,411.0,225.0,10022.0,10658.0,2.1,94.0,3.9
OH,2025,107.0,1850.0,2740.0,4697.0,39.4,58.3,2.3
OK,2025,25.0,345.0,1085.0,1455.0,23.7,74.6,1.7
OR,2025,1713.0,486.0,1882.0,4081.0,11.9,46.1,42.0
PA,2025,99.0,606.0,2426.0,3131.0,19.4,77.5,3.2
RI,2025,12.0,0.0,0.0,12.0,0.0,0.0,100.0
SC,2025,981.0,1368.0,4514.0,6863.0,19.9,65.8,14.3
SD,2025,51.0,1143.0,1945.0,3139.0,36.4,62.0,1.6
TN,2025,1614.0,785.0,3893.0,6292.0,12.5,61.9,25.7
TX,2025,444.0,7065.0,8436.0,15945.0,44.3,52.9,2.8
UT,2025,741.0,28.0,1178.0,1947.0,1.4,60.5,38.1
VA,2025,1302.0,322.0,2910.0,4534.0,7.1,64.2,28.7
VT,2025,49.0,8.0,489.0,546.0,1.5,89.6,9.0
WA,2025,17087.0,4133.0,13340.0,34560.0,12.0,38.6,49.4
WI,2025,34.0,1607.0,1395.0,3036.0,52.9,45.9,1.1
WV,2025,8.0,42.0,296.0,346.0,12.1,85.5,2.3
WY,2025,527.0,55.0,225.0,807.0,6.8,27.9,65.3
