state,year,h2a_workers_cert,emp_farmworker,h2a_per_farmworker,h2a_per_farmworker_z
New Mexico,2015,244.0,2040.0,0.11960784313725491,-0.6663227884039012
New Mexico,2016,381.0,1780.0,0.2140449438202247,-0.642916529350439
New Mexico,2017,401.0,1430.0,0.2804195804195804,-0.6264655590475766
New Mexico,2018,488.0,1670.0,0.29221556886227545,-0.623541920358072
New Mexico,2019,623.0,1570.0,0.39681528662420384,-0.5976168541166405
New York,2011,4070.0,1310.0,3.1068702290076335,0.07407094201221404
New York,2012,3678.0,1810.0,2.0320441988950275,-0.19232495871197058
New York,2013,4206.0,1830.0,2.2983606557377048,-0.12631835819184203
New York,2014,4734.0,1800.0,2.63,-0.04412146366643108
New York,2015,5104.0,1670.0,3.0562874251497005,0.061533981408945906
New York,2016,5551.0,1580.0,3.5132911392405064,0.17480246639043007
New York,2017,6903.0,2310.0,2.9883116883116885,0.04468617801098094
New York,2018,7671.0,3040.0,2.5233552631578946,-0.07055338839900374
New York,2019,8143.0,2290.0,3.55589519650655,0.18536189265283964
North Carolina,2011,16962.0,2350.0,7.217872340425532,1.0929838448151543
North Carolina,2012,19193.0,2450.0,7.833877551020408,1.2456608905227473
North Carolina,2013,22462.5,2640.0,8.508522727272727,1.4128718664033124
North Carolina,2014,25732.0,2520.0,10.21111111111111,1.8348588237043388
North Carolina,2015,29350.0,3000.0,9.783333333333333,1.7288339943568751
North Carolina,2016,31929.0,2820.0,11.322340425531914,2.110277287560517
North Carolina,2017,32740.0,2570.0,12.73929961089494,2.4614709764914076
North Carolina,2018,33760.0,2650.0,12.739622641509435,2.4615510397101037
North Carolina,2019,33011.0,2680.0,12.317537313432835,2.3569370854465954
North Dakota,2011,801.0,160.0,5.00625,0.5448326939003743
North Dakota,2012,940.0,220.0,4.2727272727272725,0.3630289022551288
North Dakota,2013,1045.0,240.0,4.354166666666667,0.383213676437276
North Dakota,2014,1150.0,280.0,4.107142857142857,0.32198876338644433
North Dakota,2015,1340.0,210.0,6.380952380952381,0.8855530232760257
North Dakota,2016,1374.0,310.0,4.432258064516129,0.40256864895011946
North Dakota,2017,1480.0,270.0,5.481481481481482,0.6626189355942833
North Dakota,2018,1637.0,230.0,7.1173913043478265,1.0680795948605684
North Dakota,2019,1870.0,210.0,8.904761904761905,1.5110798457712675
Ohio,2011,733.0,1590.0,0.4610062893081761,-0.5817070980265373
Ohio,2012,770.0,1760.0,0.4375,-0.5875331377180758
Ohio,2013,807.5,1950.0,0.41410256410256413,-0.5933321980645031
Ohio,2014,845.0,1850.0,0.45675675675675675,-0.5827603457335857
Ohio,2015,1027.0,2010.0,0.5109452736318408,-0.5693297082560645
Ohio,2016,1297.0,1850.0,0.701081081081081,-0.522204500765459
Ohio,2017,1654.0,2110.0,0.7838862559241706,-0.5016812174443084
Ohio,2018,1692.0,2060.0,0.8213592233009709,-0.49239353309588896
Ohio,2019,2985.0,2290.0,1.3034934497816595,-0.372896444325323
Oklahoma,2011,471.0,1240.0,0.37983870967741934,-0.6018245029642202
Oklahoma,2012,422.0,1110.0,0.3801801801801802,-0.6017398694145989
Oklahoma,2013,449.5,760.0,0.5914473684210526,-0.5493772439030111
Oklahoma,2014,477.0,390.0,1.2230769230769232,-0.39282770060721106
Oklahoma,2015,501.0,550.0,0.9109090909090909,-0.47019857598390186
Oklahoma,2016,526.0,490.0,1.073469387755102,-0.4299079657018388
Oklahoma,2017,572.0,500.0,1.144,-0.4124269357944786
Oklahoma,2018,646.0,460.0,1.4043478260869566,-0.34789966190183563
Oklahoma,2019,718.0,490.0,1.4653061224489796,-0.3327911328831705
Oregon,2011,107.0,4570.0,0.023413566739606127,-0.6901645638982835
Oregon,2012,110.0,5450.0,0.02018348623853211,-0.6909651401593601
Oregon,2013,182.0,5180.0,0.03513513513513514,-0.6872593702361055
Oregon,2014,254.0,5830.0,0.04356775300171527,-0.6851693437861551
Oregon,2015,670.0,5670.0,0.11816578483245149,-0.6666802029158709
Oregon,2016,1121.0,5460.0,0.2053113553113553,-0.6450811514494504
Oregon,2017,1562.0,5160.0,0.30271317829457367,-0.6209400852314378
Oregon,2018,2476.0,5750.0,0.4306086956521739,-0.5892411492264231
Oregon,2019,2605.0,6040.0,0.43129139072847683,-0.5890719430807991
Pennsylvania,2011,517.0,2290.0,0.225764192139738,-0.6400119107196823
Pennsylvania,2012,558.0,2410.0,0.23153526970954358,-0.6385815476987975
Pennsylvania,2013,616.5,2280.0,0.27039473684210524,-0.6289502190387017
Pennsylvania,2014,675.0,1980.0,0.3409090909090909,-0.6114732187248084
Pennsylvania,2015,785.0,1960.0,0.4005102040816326,-0.5967010678995256
Pennsylvania,2016,892.0,2200.0,0.40545454545454546,-0.5954756116520742
Pennsylvania,2017,1380.0,2510.0,0.549800796812749,-0.5596993571053737
Pennsylvania,2018,1595.0,2510.0,0.6354581673306773,-0.53846915637196
Pennsylvania,2019,1855.0,2730.0,0.6794871794871795,-0.5275565546831092
Rhode Island,2011,7.0,70.0,0.1,-0.6711825972357178
Rhode Island,2012,4.0,40.0,0.1,-0.6711825972357178
Rhode Island,2013,4.0,40.0,0.1,-0.6711825972357178
Rhode Island,2014,4.0,40.0,0.1,-0.6711825972357178
Rhode Island,2015,6.0,40.0,0.15,-0.6587900847145857
Rhode Island,2016,4.0,40.0,0.1,-0.6711825972357178
Rhode Island,2017,6.0,40.0,0.15,-0.6587900847145857
Rhode Island,2018,5.0,40.0,0.125,-0.6649863409751517
Rhode Island,2019,5.0,40.0,0.125,-0.6649863409751517
South Carolina,2011,2640.0,1170.0,2.2564102564102564,-0.13671577517048
South Carolina,2012,2924.0,1010.0,2.895049504950495,0.021571122509946677
South Carolina,2013,2982.5,930.0,3.206989247311828,0.0988854657709778
South Carolina,2014,3041.0,830.0,3.663855421686747,0.2121198614994364
South Carolina,2015,3594.0,930.0,3.8645161290322583,0.261853668065006
South Carolina,2016,3896.0,930.0,4.189247311827957,0.34233837304096104
South Carolina,2017,4529.0,1120.0,4.04375,0.3062768278685805
South Carolina,2018,6034.0,1280.0,4.7140625,0.4724139488550083
South Carolina,2019,6082.0,1400.0,4.344285714285714,0.38076467991524265
South Dakota,2011,525.0,140.0,3.75,0.2334708168069291
South Dakota,2012,629.0,110.0,5.718181818181818,0.7212851733205854
South Dakota,2013,642.5,150.0,4.283333333333333,0.3656576170323387
South Dakota,2014,656.0,130.0,5.046153846153846,0.5547228721624317
South Dakota,2015,751.0,110.0,6.827272727272727,0.9961736328802441
South Dakota,2016,826.0,90.0,9.177777777777777,1.5787468982676078
South Dakota,2017,1014.0,70.0,14.485714285714286,2.8943202909871606
South Dakota,2018,1335.0,80.0,16.6875,3.440033431649873
South Dakota,2019,1618.0,100.0,16.18,3.3142494295603813
Tennessee,2011,2006.0,980.0,2.046938775510204,-0.18863333416795985
Tennessee,2012,2299.0,830.0,2.769879518072289,-0.009452290083215596
Tennessee,2013,2573.5,720.0,3.5743055555555556,0.18992490475350643
Tennessee,2014,2848.0,430.0,6.623255813953488,0.945607989823616
Tennessee,2015,2983.0,370.0,8.062162162162162,1.3022412885618666
Tennessee,2016,3224.0,480.0,6.716666666666667,0.96875989306077
Tennessee,2017,3780.0,840.0,4.5,0.41935850462391133
Tennessee,2018,4076.0,1020.0,3.996078431372549,0.2944614176462265
Tennessee,2019,4521.0,1590.0,2.8433962264150945,0.008768844489797138
