state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
North Carolina,2014,-3,9,-27,18.0,66.0,2.9444389791664403,4.204692619390966,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,1.8348588237043388
North Carolina,2015,-2,4,-8,19.0,67.0,2.995732273553991,4.219507705176107,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,1.7288339943568751
North Carolina,2016,-1,1,-1,172.0,81.0,5.153291594497779,4.406719247264253,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,2.110277287560517
North Carolina,2017,0,0,0,103.0,70.0,4.6443908991413725,4.2626798770413155,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,2.4614709764914076
North Carolina,2018,1,1,1,42.0,40.0,3.7612001156935624,3.713572066704308,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,2.4615510397101037
North Carolina,2019,2,4,8,44.0,24.0,3.8066624897703196,3.2188758248682006,-0.6300100663048213,-0.510910007035504,-0.1556745254187811,1.1524264437111407,0.11905728779680745,2.3569370854465954
North Dakota,2011,-6,36,-216,2.0,87.0,1.0986122886681098,4.477336814478207,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.5448326939003743
North Dakota,2012,-5,25,-125,6.0,87.0,1.9459101490553132,4.477336814478207,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.3630289022551288
North Dakota,2013,-4,16,-64,1.0,116.0,0.6931471805599453,4.762173934797756,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.383213676437276
North Dakota,2014,-3,9,-27,1.0,87.0,0.6931471805599453,4.477336814478207,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.3219887633864443
North Dakota,2015,-2,4,-8,0.0,70.0,0.0,4.2626798770413155,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.8855530232760257
North Dakota,2016,-1,1,-1,,107.0,,4.68213122712422,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.4025686489501194
North Dakota,2017,0,0,0,,77.0,,4.356708826689592,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,0.6626189355942833
North Dakota,2018,1,1,1,1.0,81.0,0.6931471805599453,4.406719247264253,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,1.0680795948605684
North Dakota,2019,2,4,8,18.0,75.0,2.9444389791664403,4.330733340286331,-0.325594214659172,0.3646785480908163,-1.4962139253518068,-0.5167382483540784,-0.6255857056124132,1.5110798457712675
Ohio,2011,-6,36,-216,10.0,37.0,2.3978952727983707,3.6375861597263857,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5817070980265373
Ohio,2012,-5,25,-125,9.0,29.0,2.302585092994046,3.4011973816621555,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5875331377180758
Ohio,2013,-4,16,-64,7.0,24.0,2.0794415416798357,3.2188758248682006,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5933321980645031
Ohio,2014,-3,9,-27,7.0,21.0,2.0794415416798357,3.091042453358316,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5827603457335857
Ohio,2015,-2,4,-8,6.0,15.0,1.9459101490553132,2.772588722239781,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5693297082560645
Ohio,2016,-1,1,-1,9.0,19.0,2.302585092994046,2.995732273553991,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.522204500765459
Ohio,2017,0,0,0,19.0,14.0,2.995732273553991,2.70805020110221,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.5016812174443084
Ohio,2018,1,1,1,39.0,12.0,3.6888794541139363,2.5649493574615367,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.4923935330958889
Ohio,2019,2,4,8,32.0,12.0,3.4965075614664802,2.5649493574615367,-0.7351768856965487,-0.5169358182880489,-0.2523640046680265,0.22120824708528108,-0.0007703203380097199,-0.372896444325323
Oklahoma,2011,-6,36,-216,1.0,22.0,0.6931471805599453,3.1354942159291497,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.6018245029642202
Oklahoma,2012,-5,25,-125,2.0,24.0,1.0986122886681098,3.2188758248682006,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.6017398694145989
Oklahoma,2013,-4,16,-64,2.0,23.0,1.0986122886681098,3.1780538303479458,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.5493772439030111
Oklahoma,2014,-3,9,-27,2.0,20.0,1.0986122886681098,3.044522437723423,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.392827700607211
Oklahoma,2015,-2,4,-8,1.0,19.0,0.6931471805599453,2.995732273553991,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.4701985759839018
Oklahoma,2016,-1,1,-1,1.0,23.0,0.6931471805599453,3.1780538303479458,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.4299079657018388
Oklahoma,2017,0,0,0,5.0,18.0,1.791759469228055,2.9444389791664403,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.4124269357944786
Oklahoma,2018,1,1,1,7.0,12.0,2.0794415416798357,2.5649493574615367,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.3478996619018356
Oklahoma,2019,2,4,8,6.0,10.0,1.9459101490553132,2.3978952727983707,0.8257220738885234,0.5693183272413623,-0.607381310092173,-1.9311356979461836,0.11049817293003483,-0.3327911328831705
Oregon,2011,-6,36,-216,7.0,6.0,2.0794415416798357,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6901645638982835
Oregon,2012,-5,25,-125,7.0,6.0,2.0794415416798357,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6909651401593601
Oregon,2013,-4,16,-64,7.0,6.0,2.0794415416798357,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6872593702361055
Oregon,2014,-3,9,-27,7.0,3.0,2.0794415416798357,1.3862943611198906,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6851693437861551
Oregon,2015,-2,4,-8,8.0,13.0,2.1972245773362196,2.6390573296152584,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6666802029158709
Oregon,2016,-1,1,-1,12.0,6.0,2.5649493574615367,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6450811514494504
Oregon,2017,0,0,0,23.0,6.0,3.1780538303479458,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.6209400852314378
Oregon,2018,1,1,1,11.0,6.0,2.4849066497880004,1.9459101490553132,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.5892411492264231
