state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
North Dakota,2016,51000,1.0213035453132617,52086.48081097635,0.052086480810976346
North Dakota,2017,51000,1.0,51000.0,0.051
North Dakota,2018,151000,0.9761575742611716,147399.7937134369,0.1473997937134369
North Dakota,2019,151000,0.9587846215828238,144776.4778590064,0.1447764778590064
Ohio,2011,50000,1.089717656786951,54485.882839347556,0.054485882839347556
Ohio,2016,35000,1.0213035453132617,35745.62408596416,0.03574562408596416
Oklahoma,2011,651780,1.089717656786951,710256.174340599,0.710256174340599
Oklahoma,2012,922164,1.0676237183898534,984524.1586452607,0.9845241586452608
Oklahoma,2013,303407,1.0522113523096537,319248.2897702151,0.31924828977021513
Oklahoma,2014,588743,1.0354149770208165,609593.3198161665,0.6095933198161665
Oklahoma,2015,654833,1.0341874211554445,677220.0515574832,0.6772200515574831
Oklahoma,2016,561714,1.0213035453132617,573680.4996520935,0.5736804996520936
Oklahoma,2017,597157,1.0,597157.0,0.597157
Oklahoma,2018,632037,0.9761575742611716,616967.704763308,0.6169677047633081
Oklahoma,2019,623598,0.9587846215828238,597896.1724498058,0.5978961724498058
Oregon,2011,1676469,1.089717656786951,1826877.870355963,1.826877870355963
Oregon,2012,2031000,1.0676237183898534,2168343.772049792,2.1683437720497922
Oregon,2013,745023,1.0522113523096537,783921.6583317951,0.7839216583317952
Oregon,2014,1459678,1.0354149770208165,1511372.4628277915,1.5113724628277914
Oregon,2015,1984769,1.0341874211554445,2052623.1336992704,2.0526231336992704
Oregon,2016,1552000,1.0213035453132617,1585063.1023261822,1.585063102326182
Oregon,2017,1470050,1.0,1470050.0,1.47005
Oregon,2018,954698,0.9761575742611716,931935.683831992,0.931935683831992
Oregon,2019,1485488,0.9587846215828238,1424263.049945826,1.424263049945826
Pennsylvania,2011,0,1.089717656786951,0.0,0.0
Pennsylvania,2012,0,1.0676237183898534,0.0,0.0
Pennsylvania,2013,50000,1.0522113523096537,52610.56761548269,0.05261056761548269
Pennsylvania,2014,0,1.0354149770208165,0.0,0.0
Pennsylvania,2015,0,1.0341874211554445,0.0,0.0
Pennsylvania,2016,0,1.0213035453132617,0.0,0.0
South Carolina,2011,782468,1.089717656786951,852669.1954707721,0.8526691954707721
South Carolina,2012,207600,1.0676237183898534,221638.68393773356,0.22163868393773356
South Carolina,2013,475354,1.0522113523096537,500172.8751658031,0.5001728751658031
South Carolina,2014,502216,1.0354149770208165,520001.9680994864,0.5200019680994864
South Carolina,2015,541902,1.0341874211554445,560428.2318989777,0.5604282318989776
South Carolina,2016,390345,1.0213035453132617,398660.7323953051,0.39866073239530514
South Carolina,2017,483674,1.0,483674.0,0.483674
South Carolina,2018,510428,0.9761575742611716,498258.15831498126,0.49825815831498127
South Carolina,2019,445407,0.9587846215828238,427049.38194534084,0.4270493819453408
South Dakota,2011,212936,1.089717656786951,232040.1189655862,0.2320401189655862
South Dakota,2012,476596,1.0676237183898534,508825.19368973054,0.5088251936897306
South Dakota,2013,827773,1.0522113523096537,870992.147735419,0.870992147735419
South Dakota,2014,561239,1.0354149770208165,581115.2662881861,0.5811152662881861
South Dakota,2015,446481,1.0341874211554445,461745.033984904,0.461745033984904
South Dakota,2016,240760,1.0213035453132617,245889.0415696209,0.24588904156962088
South Dakota,2017,201658,1.0,201658.0,0.201658
South Dakota,2018,374000,0.9761575742611716,365082.93277367816,0.36508293277367815
South Dakota,2019,375998,0.9587846215828238,360501.1001458986,0.3605011001458986
Tennessee,2011,0,1.089717656786951,0.0,0.0
Texas,2011,1470538,1.089717656786951,1602471.2235761695,1.6024712235761696
Texas,2012,1448943,1.0676237183898534,1546925.9133949494,1.5469259133949493
Texas,2013,795038,1.0522113523096537,836548.0091175624,0.8365480091175624
Texas,2014,1262210,1.0354149770208165,1306911.138145445,1.306911138145445
Texas,2015,1368719,1.0341874211554445,1415511.9728964588,1.415511972896459
Texas,2016,1018935,1.0213035453132617,1040641.9279437683,1.0406419279437684
