cell,window,outcome,model,family,zi_tier_reached,block,term,label,b,se,z,p,stars,irr,odds_ratio
viol_2021,2021,violations,M1,zinb2_re,mirror,conditional,log_inspections,log Inspections,0.69514234279,0.065660731258,10.5868809175,3.428251718e-26,***,2.003994307781117,
viol_2021,2021,violations,M1,zinb2_re,mirror,conditional,time,time,0.14797832003,0.025564646962,5.7883967752,7.106139629e-09,***,1.159487758430662,
viol_2021,2021,violations,M1,zinb2_re,mirror,conditional,time2,time²,-0.017339531118,0.0058272215099,-2.9756087166,0.0029240768553,**,0.9828099334231782,
viol_2021,2021,violations,M1,zinb2_re,mirror,conditional,time3,time³,-0.0066132036413,0.0013817557652,-4.7860872434,1.7006415475e-06,***,0.9934086154653403,
viol_2021,2021,violations,M1,zinb2_re,mirror,zero_inflated,(Intercept),Intercept,-1.0990913804,0.85750046639,-1.281738522,0.19993438678,,,
viol_2021,2021,violations,M1,zinb2_re,mirror,zero_inflated,log_inspections,log Inspections,-0.46400367505,0.21120264807,-2.1969595519,0.028023335086,*,,0.6287612437338436
viol_2021,2021,violations,M1,zinb2_re,mirror,zero_inflated,time,time,0.21650273709,0.19258952932,1.1241667076,0.26094231019,,,1.24172648406632
viol_2021,2021,violations,M1,zinb2_re,mirror,zero_inflated,time2,time²,-0.041084459233,0.043847821356,-0.93697834835,0.3487696954,,,0.9597480669389804
viol_2021,2021,violations,M1,zinb2_re,mirror,zero_inflated,time3,time³,0.01015505692,0.01359716663,0.74685095768,0.45515353208,,,1.0102067944948898
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,(Intercept),Intercept,-0.24484658219,0.29354780888,-0.83409439549,0.40422779309,,,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,log_inspections,log Inspections,0.82875478056,0.069285094749,11.961516161,5.6520407775e-33,***,2.290464832426215,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,time,time,0.1199429066,0.025689768908,4.6688978412,3.0281990275e-06,***,1.1274324807882208,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,time2,time²,-0.017405508457,0.0060388880681,-2.8822373028,0.0039486223419,**,0.9827450923780715,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,time3,time³,-0.0060680405107,0.0014368373705,-4.2231922941,2.4086614345e-05,***,0.9939503328648724,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,SPEND_APP_z,STAG $ per applicator (z),0.010521240915,0.14742167892,0.071368342784,0.94310460414,,1.0105767837926192,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.2669516137,0.17160744066,-1.5555946332,0.11980451572,,0.7657101204486362,
viol_2021,2021,violations,M2,zinb2_re,intercept,conditional,lii_2017_z,Labor intensity index 2017 (z),-0.0022293757853,0.22543506391,-0.0098892148656,0.99210967675,,0.9977731074272154,
viol_2021,2021,violations,M2,zinb2_re,intercept,zero_inflated,(Intercept),Intercept,-2.8169027377,0.47387909281,-5.9443490552,2.7755759499e-09,***,,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,(Intercept),Intercept,0.047457434858,0.29202717734,0.16251033651,0.87090398912,,,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,log_inspections,log Inspections,0.75795930632,0.069745728466,10.8674656211,1.6471277684e-27,***,2.1339171030520365,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,time,time,0.14274241146,0.025500309375,5.5976737128,2.1724713075e-08,***,1.1534326523636154,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,time2,time²,-0.016982393516,0.0061293674774,-2.7706600361,0.0055942801584,**,0.9831609944908453,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,time3,time³,-0.0064594288276,0.0014333863484,-4.5064115721,6.5933143605e-06,***,0.993561388436128,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,SPEND_APP_z,STAG $ per applicator (z),-0.0073878076261,0.15456815577,-0.047796440277,0.96187847356,,0.9926394151445438,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,SPEND_WORK_z,STAG $ per farmworker (z),-0.23873936676,0.16403830789,-1.4553878898,0.14556190713,,0.7876201356114514,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,lii_2017_z,Labor intensity index 2017 (z),0.10503267723,0.21852626993,0.48064096485,0.63077169546,,1.110746905894799,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,h2a_per_farmworker_z,H-2A per farmworker (z),-0.0074579593837,0.05697520914,-0.13089832396,0.89585574056,,0.992569782187374,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,dol_demand_met_pct_z,DOL demand met % (z),-0.266996433,0.20106704021,-1.3278975645,0.18421194944,,0.7656758026260909,
viol_2021,2021,violations,M3,zinb2_re,mirror,conditional,pct_flc_z,% farm labor contractor (z),0.09661405627,0.17247848606,0.56015134685,0.57537620966,,1.1014351995703833,
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,(Intercept),Intercept,-0.20808850301,0.99525295279,-0.20908102049,0.83438499073,,,
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,log_inspections,log Inspections,-0.67024321356,0.2483678297,-2.6985910952,0.0069633677289,**,,0.5115841384549363
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,time,time,0.31466877062,0.25418374336,1.2379578901,0.21573167527,,,1.3698055159742535
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,time2,time²,-0.11253341967,0.12121509468,-0.92837793814,0.35321155842,,,0.8935674838790748
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,time3,time³,0.021220520013,0.031734461304,0.66869009716,0.50369318585,,,1.0214472763699993
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,SPEND_APP_z,STAG $ per applicator (z),-0.15746479102,0.35904715762,-0.43856297892,0.66097822699,,,0.8543068923532422
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,SPEND_WORK_z,STAG $ per farmworker (z),0.75951181252,0.38138749182,1.9914439482,0.0464321017,*,,2.1372325955802265
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,lii_2017_z,Labor intensity index 2017 (z),-0.2191686058,0.59686524284,-0.36719947831,0.71347022843,,,0.8031862848704192
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,h2a_per_farmworker_z,H-2A per farmworker (z),0.31372347545,0.30031215098,1.0446579481,0.29618108683,,,1.3685112572607963
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,dol_demand_met_pct_z,DOL demand met % (z),0.26137092402,0.5465724878,0.47819992747,0.63250791414,,,1.2987092985773567
viol_2021,2021,violations,M3,zinb2_re,mirror,zero_inflated,pct_flc_z,% farm labor contractor (z),-0.3395472172,0.43476336654,-0.78099316395,0.43480651535,,,0.7120926730941428
