state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,covid,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Hawaii,2021,4,16,64,6.0,12.0,1.9459101490553132,2.5649493574615367,1.0,-0.7835612294433079,-0.597016294507755,1.5577121861369192,-1.1491551932355024,0.23888489593162462,-0.6377582500508929
Idaho,2011,-6,36,-216,4.0,69.0,1.6094379124341003,4.248495242049359,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.3903014714379779
Idaho,2012,-5,25,-125,3.0,94.0,1.3862943611198906,4.553876891600541,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.4105609073746643
Idaho,2013,-4,16,-64,19.0,130.0,2.995732273553991,4.875197323201151,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.4531283123375947
Idaho,2014,-3,9,-27,9.0,147.0,2.302585092994046,4.997212273764115,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.4293588744406791
Idaho,2015,-2,4,-8,2.0,115.0,1.0986122886681098,4.7535901911063645,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.3535679065869677
Idaho,2016,-1,1,-1,9.0,127.0,2.302585092994046,4.852030263919617,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.3858865182390741
Idaho,2017,0,0,0,0.0,79.0,0.0,4.382026634673881,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.3104185740527967
Idaho,2018,1,1,1,5.0,62.0,1.791759469228055,4.143134726391533,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.2943667610449528
Idaho,2019,2,4,8,1.0,57.0,0.6931471805599453,4.060443010546419,0.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.2271969827143498
Idaho,2020,3,9,27,1.0,50.0,0.6931471805599453,3.9318256327243257,1.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.2666072545105007
Idaho,2021,4,16,64,5.0,54.0,1.791759469228055,4.007333185232471,1.0,0.4581157759911833,-0.1811105133898213,-0.5120195032761663,1.015681795450334,-0.9379933982496151,-0.164318593765125
Illinois,2011,-6,36,-216,26.0,27.0,3.295836866004329,3.332204510175204,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.6119825998401041
